Date,Open,High,Low,Close,Adj Close,Volume
2019-09-01,34.299999,38.549999,33.466667,36.099998,33.002266,663173649
2019-10-01,36.200001,40.700001,34.500000,39.383331,36.003857,528978867
2019-11-01,39.599998,40.700001,34.083332,34.366665,31.417667,516389904
2019-12-01,34.433334,35.000000,32.183334,33.349998,30.488245,434328300
2020-01-01,33.433334,36.333332,29.966665,30.216665,27.623777,860965530
2020-02-01,29.766666,30.566666,24.283333,24.650000,22.534790,771419280
2020-03-01,25.333332,26.716665,18.666666,24.816666,23.060387,964029063
2020-04-01,24.600000,26.366667,21.700001,24.033333,22.332489,795107448
2020-05-01,24.033333,24.033333,19.250000,23.066666,21.434235,989872074
2020-06-01,23.333332,31.400000,22.466665,29.549999,27.458742,1234457178
2020-07-01,29.549999,35.133331,29.183332,31.950001,29.688892,1315473423
2020-08-01,32.000000,39.483334,31.683332,35.366665,32.863762,1158783705
2020-09-01,35.666664,36.783333,29.883333,31.916666,29.657917,626753472
2020-10-01,32.083332,32.533333,28.783333,29.000000,27.304756,385554249
2020-11-01,29.283333,37.933334,29.083332,37.033333,34.868488,675075537
2020-12-01,37.033333,41.066666,35.450001,39.983334,37.646046,1174347714
2021-01-01,40.333332,47.000000,40.200001,43.349998,40.815907,1190138061
2021-02-01,43.333332,47.966667,41.866665,45.700001,43.028530,797102535
2021-03-01,46.233334,51.650002,38.616665,41.700001,39.658371,873436368
2021-04-01,42.000000,45.483334,40.166664,43.916664,42.228565,583244550
2021-05-01,43.666664,53.333332,42.950001,48.466667,46.603680,1505526495
2021-06-01,51.000000,59.633331,46.833332,59.333332,57.052647,1186761072
2021-07-01,59.266666,63.900002,59.033333,61.549999,59.184105,588864033
2021-08-01,61.666664,62.466667,54.116665,62.216667,59.825142,573740100
2021-09-01,62.400002,70.816666,62.183334,67.650002,65.049622,472297200
2021-10-01,66.666664,73.833336,61.150002,68.949997,66.707024,399386091
2021-11-01,69.233330,76.000000,62.933334,67.916664,65.707306,409649820
2021-12-01,68.000000,71.566666,63.883331,69.983330,67.706741,367604007
2022-01-01,69.916664,74.266663,64.733330,69.900002,67.626129,408048816
2022-02-01,70.550003,70.816666,62.333332,70.150002,67.867996,382511754
2022-03-01,70.150002,75.500000,67.750000,70.266663,68.495857,592569945
2022-04-01,70.316666,86.500000,70.083336,79.516663,78.077438,756720162
2022-05-01,78.333336,80.066666,71.916664,78.250000,76.833710,344665149
2022-06-01,78.449997,83.483330,74.566666,78.033333,76.620964,341213190
2022-07-01,77.666664,92.300003,74.716667,91.733330,90.072990,539961249
2022-08-01,92.066666,103.949997,89.083336,102.166664,100.317490,522627111
2022-09-01,102.283333,114.650002,96.250000,100.949997,99.664207,611104130
2022-10-01,101.449997,109.199997,98.099998,106.849998,105.489059,301762899
2022-11-01,107.300003,112.199997,104.150002,105.099998,103.761345,378818677
2022-12-01,105.650002,108.400002,94.650002,99.900002,98.627579,320360530
2023-01-01,100.400002,104.000000,87.000000,94.949997,93.740623,326424758
2023-02-01,97.000000,98.650002,88.300003,94.599998,93.395081,311950771
2023-03-01,95.199997,98.449997,89.650002,97.550003,96.914497,308582521
2023-04-01,98.949997,103.849998,95.050003,103.300003,103.300003,189552703
2023-05-01,103.300003,112.599998,103.300003,112.150002,112.150002,247491462
2023-06-01,112.199997,119.000000,112.000000,118.050003,118.050003,84600982
